Generation,Fitness
114,90096.0681181998
115,90096.0681181998
116,90096.0681181998
117,90096.0681181998
118,90096.0681181998
119,90096.0681181998
120,90096.0681181998
121,90096.0681181998
122,90096.0681181998
123,90096.0681181998
124,90096.0681181998
125,84467.37676285728
126,84467.37676285728
127,84467.37676285728
128,84467.37676285728
129,84467.37676285728
130,84467.37676285728
131,84467.37676285728
132,84467.37676285728
133,84467.37676285728
134,84467.37676285728
135,84467.37676285728
136,84467.37676285728
137,84467.37676285728
138,84467.37676285728
139,84467.37676285728
140,84467.37676285728
141,84467.37676285728
142,84467.37676285728
143,84467.37676285728
144,84467.37676285728
145,84467.37676285728
146,84467.37676285728
147,84467.37676285728
148,84467.37676285728
149,84467.37676285728
150,84467.37676285728
151,84467.37676285728
152,84467.37676285728
153,84467.37676285728
154,84467.37676285728
155,84467.37676285728
156,84467.37676285728
157,84467.37676285728
158,84467.37676285728
159,84467.37676285728
160,84467.37676285728
161,84467.37676285728
162,84467.37676285728
163,84467.37676285728
164,84467.37676285728
165,84467.37676285728
166,77405.19668900747
167,77405.19668900747
168,77405.19668900747
169,77405.19668900747
170,77405.19668900747
171,77405.19668900747
172,77405.19668900747
173,77405.19668900747
174,77405.19668900747
175,77405.19668900747
176,77405.19668900747
177,77405.19668900747
178,77405.19668900747
179,77405.19668900747
180,77405.19668900747
181,77405.19668900747
182,77405.19668900747
183,77405.19668900747
184,77405.19668900747
185,77405.19668900747
186,77405.19668900747
187,77405.19668900747
188,77405.19668900747
189,77405.19668900747
190,77405.19668900747
191,77405.19668900747
192,77405.19668900747
193,77405.19668900747
194,77405.19668900747
195,77405.19668900747
196,77405.19668900747
197,77405.19668900747
198,77405.19668900747
199,77405.19668900747
200,77405.19668900747
201,77405.19668900747
202,77405.19668900747
203,77405.19668900747
204,77405.19668900747
205,77405.19668900747
206,77405.19668900747
207,77405.19668900747
208,77405.19668900747
209,77405.19668900747
210,77405.19668900747
211,77405.19668900747
212,77405.19668900747
213,77405.19668900747
214,77405.19668900747
215,77405.19668900747
216,77405.19668900747
217,77405.19668900747
218,77011.56779333805
219,77011.56779333805
220,77011.56779333805
221,77011.56779333805
222,77011.56779333805
223,77011.56779333805
224,77011.56779333805
225,77011.56779333805
226,71549.43488676795
227,71549.43488676795
228,71549.43488676795
229,71549.43488676795
230,71549.43488676795
231,71549.43488676795
232,71549.43488676795
233,69934.38347757893
234,69934.38347757893
235,69934.38347757893
236,69934.38347757893
237,69934.38347757893
238,69934.38347757893
239,69934.38347757893
240,69934.38347757893
241,69934.38347757893
242,69934.38347757893
243,69934.38347757893
244,69934.38347757893
245,69934.38347757893
246,69934.38347757893
247,69934.38347757893
248,69934.38347757893
249,69934.38347757893
250,69934.38347757893
251,69934.38347757893
252,69934.38347757893
253,69934.38347757893
254,69934.38347757893
255,69934.38347757893
256,69934.38347757893
257,69934.38347757893
258,69934.38347757893
259,69934.38347757893
260,69934.38347757893
261,69934.38347757893
262,69934.38347757893
263,69934.38347757893
264,69934.38347757893
265,69934.38347757893
266,69934.38347757893
267,69934.38347757893
268,69934.38347757893
269,69934.38347757893
270,69934.38347757893
271,69934.38347757893
272,69934.38347757893
273,69934.38347757893
274,69934.38347757893
275,69934.38347757893
276,69934.38347757893
277,69934.38347757893
278,69934.38347757893
279,69934.38347757893
280,69934.38347757893
281,69934.38347757893
282,69934.38347757893
283,69934.38347757893
284,69934.38347757893
285,69934.38347757893
286,69934.38347757893
287,69934.38347757893
288,69934.38347757893
